Rate_code_id,RatecodeID,RatecodeType
191,1,Standard rate
192,1,Standard rate
193,1,Standard rate
194,1,Standard rate
195,1,Standard rate
196,1,Standard rate
197,1,Standard rate
198,1,Standard rate
199,1,Standard rate
200,1,Standard rate
201,1,Standard rate
202,1,Standard rate
203,1,Standard rate
204,1,Standard rate
205,1,Standard rate
206,1,Standard rate
207,1,Standard rate
208,1,Standard rate
209,1,Standard rate
210,1,Standard rate
211,1,Standard rate
212,1,Standard rate
213,1,Standard rate
214,1,Standard rate
215,1,Standard rate
216,1,Standard rate
217,1,Standard rate
218,1,Standard rate
219,1,Standard rate
220,1,Standard rate
221,1,Standard rate
222,1,Standard rate
223,1,Standard rate
224,1,Standard rate
225,1,Standard rate
226,1,Standard rate
227,1,Standard rate
228,1,Standard rate
229,1,Standard rate
230,1,Standard rate
231,1,Standard rate
232,1,Standard rate
233,1,Standard rate
234,1,Standard rate
235,1,Standard rate
236,1,Standard rate
237,1,Standard rate
238,1,Standard rate
239,1,Standard rate
240,1,Standard rate
241,1,Standard rate
242,1,Standard rate
243,1,Standard rate
244,1,Standard rate
245,1,Standard rate
246,1,Standard rate
247,1,Standard rate
248,1,Standard rate
249,1,Standard rate
250,1,Standard rate
251,1,Standard rate
252,1,Standard rate
253,1,Standard rate
254,1,Standard rate
255,1,Standard rate
256,1,Standard rate
257,1,Standard rate
258,1,Standard rate
259,1,Standard rate
260,1,Standard rate
261,1,Standard rate
262,1,Standard rate
263,1,Standard rate
264,1,Standard rate
265,1,Standard rate
266,1,Standard rate
267,1,Standard rate
268,1,Standard rate
269,1,Standard rate
270,1,Standard rate
271,1,Standard rate
272,1,Standard rate
273,1,Standard rate
274,1,Standard rate
275,1,Standard rate
276,1,Standard rate
277,1,Standard rate
278,1,Standard rate
279,1,Standard rate
280,1,Standard rate
281,1,Standard rate
282,1,Standard rate
283,1,Standard rate
284,1,Standard rate
285,1,Standard rate
286,1,Standard rate
287,1,Standard rate
288,1,Standard rate
289,2,JFK
290,1,Standard rate
291,1,Standard rate
292,1,Standard rate
293,1,Standard rate
294,1,Standard rate
295,1,Standard rate
296,1,Standard rate
297,1,Standard rate
298,2,JFK
299,1,Standard rate
300,1,Standard rate
301,1,Standard rate
302,1,Standard rate
303,1,Standard rate
304,1,Standard rate
305,1,Standard rate
306,1,Standard rate
307,1,Standard rate
308,1,Standard rate
309,1,Standard rate
310,1,Standard rate
311,1,Standard rate
312,1,Standard rate
313,1,Standard rate
314,1,Standard rate
315,1,Standard rate
316,1,Standard rate
317,1,Standard rate
318,1,Standard rate
319,1,Standard rate
320,1,Standard rate
321,1,Standard rate
322,2,JFK
323,1,Standard rate
324,1,Standard rate
325,1,Standard rate
326,1,Standard rate
327,1,Standard rate
328,2,JFK
329,1,Standard rate
330,1,Standard rate
331,1,Standard rate
332,1,Standard rate
333,1,Standard rate
334,2,JFK
335,1,Standard rate
336,1,Standard rate
337,1,Standard rate
338,1,Standard rate
339,1,Standard rate
340,1,Standard rate
341,1,Standard rate
342,1,Standard rate
343,1,Standard rate
344,1,Standard rate
345,1,Standard rate
346,2,JFK
347,1,Standard rate
348,1,Standard rate
349,1,Standard rate
350,1,Standard rate
351,1,Standard rate
352,1,Standard rate
353,1,Standard rate
354,3,Newark
355,1,Standard rate
356,1,Standard rate
357,1,Standard rate
358,1,Standard rate
359,1,Standard rate
360,1,Standard rate
361,1,Standard rate
362,1,Standard rate
363,1,Standard rate
364,1,Standard rate
365,1,Standard rate
366,1,Standard rate
367,1,Standard rate
368,1,Standard rate
369,1,Standard rate
370,1,Standard rate
371,1,Standard rate
372,1,Standard rate
373,1,Standard rate
374,2,JFK
375,1,Standard rate
376,1,Standard rate
377,1,Standard rate
378,1,Standard rate
379,1,Standard rate
380,1,Standard rate
381,1,Standard rate
382,2,JFK
383,1,Standard rate
384,1,Standard rate
385,1,Standard rate
386,1,Standard rate
387,1,Standard rate
388,1,Standard rate
389,1,Standard rate
390,1,Standard rate
391,1,Standard rate
392,1,Standard rate
393,1,Standard rate
394,1,Standard rate
395,1,Standard rate
396,1,Standard rate
397,1,Standard rate
398,1,Standard rate
399,1,Standard rate
400,1,Standard rate
401,1,Standard rate
402,1,Standard rate
403,1,Standard rate
404,1,Standard rate
405,1,Standard rate
406,1,Standard rate
407,1,Standard rate
408,1,Standard rate
409,1,Standard rate
410,1,Standard rate
411,5,Negotiated fare
412,1,Standard rate
413,1,Standard rate
414,2,JFK
415,1,Standard rate
416,1,Standard rate
417,1,Standard rate
418,1,Standard rate
419,1,Standard rate
420,1,Standard rate
421,1,Standard rate
422,1,Standard rate
423,1,Standard rate
424,1,Standard rate
425,1,Standard rate
426,1,Standard rate
427,1,Standard rate
428,1,Standard rate
429,1,Standard rate
430,1,Standard rate
431,1,Standard rate
432,1,Standard rate
433,1,Standard rate
434,1,Standard rate
435,2,JFK
436,1,Standard rate
437,1,Standard rate
438,1,Standard rate
439,1,Standard rate
440,1,Standard rate
441,2,JFK
442,1,Standard rate
443,1,Standard rate
444,1,Standard rate
445,1,Standard rate
446,1,Standard rate
447,1,Standard rate
448,1,Standard rate
449,1,Standard rate
450,1,Standard rate
451,1,Standard rate
452,1,Standard rate
453,1,Standard rate
454,1,Standard rate
455,1,Standard rate
456,1,Standard rate
457,1,Standard rate
458,1,Standard rate
459,1,Standard rate
460,1,Standard rate
461,1,Standard rate
462,1,Standard rate
463,1,Standard rate
464,1,Standard rate
465,1,Standard rate
466,1,Standard rate
467,1,Standard rate
468,1,Standard rate
469,1,Standard rate
470,1,Standard rate
471,1,Standard rate
472,1,Standard rate
473,1,Standard rate
474,1,Standard rate
475,1,Standard rate
476,1,Standard rate
477,1,Standard rate
478,1,Standard rate
479,1,Standard rate
480,1,Standard rate
481,1,Standard rate
482,1,Standard rate
483,1,Standard rate
484,1,Standard rate
485,1,Standard rate
486,1,Standard rate
487,1,Standard rate
488,1,Standard rate
489,1,Standard rate
490,1,Standard rate
491,1,Standard rate
492,1,Standard rate
493,1,Standard rate
494,1,Standard rate
495,1,Standard rate
496,1,Standard rate
497,1,Standard rate
498,1,Standard rate
499,1,Standard rate
500,1,Standard rate
501,1,Standard rate
502,1,Standard rate
503,1,Standard rate
504,1,Standard rate
505,1,Standard rate
506,1,Standard rate
507,1,Standard rate
508,1,Standard rate
509,1,Standard rate
510,1,Standard rate
511,1,Standard rate
512,1,Standard rate
513,1,Standard rate
514,1,Standard rate
515,1,Standard rate
516,1,Standard rate
517,1,Standard rate
518,1,Standard rate
519,1,Standard rate
520,1,Standard rate
521,1,Standard rate
522,1,Standard rate
523,1,Standard rate
524,1,Standard rate
525,1,Standard rate
526,1,Standard rate
527,1,Standard rate
528,1,Standard rate
529,1,Standard rate
530,1,Standard rate
531,1,Standard rate
532,1,Standard rate
533,1,Standard rate
534,1,Standard rate
535,1,Standard rate
536,1,Standard rate
537,1,Standard rate
538,1,Standard rate
539,1,Standard rate
540,1,Standard rate
541,1,Standard rate
542,1,Standard rate
543,1,Standard rate
544,1,Standard rate
545,1,Standard rate
546,2,JFK
547,1,Standard rate
548,1,Standard rate
549,1,Standard rate
550,3,Newark
551,1,Standard rate
552,1,Standard rate
553,1,Standard rate
554,1,Standard rate
555,1,Standard rate
556,1,Standard rate
557,1,Standard rate
558,1,Standard rate
559,1,Standard rate
560,1,Standard rate
561,1,Standard rate
562,1,Standard rate
563,1,Standard rate
564,1,Standard rate
565,2,JFK
566,1,Standard rate
567,1,Standard rate
568,1,Standard rate
569,1,Standard rate
570,1,Standard rate
571,1,Standard rate
572,1,Standard rate
573,1,Standard rate
574,1,Standard rate
575,1,Standard rate
576,1,Standard rate
577,1,Standard rate
578,1,Standard rate
579,1,Standard rate
580,1,Standard rate
581,1,Standard rate
582,1,Standard rate
583,1,Standard rate
584,1,Standard rate
585,1,Standard rate
586,1,Standard rate
587,1,Standard rate
588,1,Standard rate
589,1,Standard rate
590,1,Standard rate
591,1,Standard rate
592,1,Standard rate
593,1,Standard rate
594,1,Standard rate
595,1,Standard rate
596,1,Standard rate
597,1,Standard rate
598,1,Standard rate
599,1,Standard rate
600,1,Standard rate
601,1,Standard rate
602,1,Standard rate
603,1,Standard rate
604,1,Standard rate
605,1,Standard rate
606,1,Standard rate
607,1,Standard rate
608,1,Standard rate
609,1,Standard rate
610,1,Standard rate
611,1,Standard rate
612,1,Standard rate
613,1,Standard rate
614,1,Standard rate
615,1,Standard rate
616,1,Standard rate
617,1,Standard rate
618,1,Standard rate
619,1,Standard rate
620,1,Standard rate
621,1,Standard rate
622,1,Standard rate
623,1,Standard rate
624,1,Standard rate
625,1,Standard rate
626,1,Standard rate
627,1,Standard rate
628,1,Standard rate
629,1,Standard rate
630,1,Standard rate
631,1,Standard rate
632,1,Standard rate
633,1,Standard rate
634,1,Standard rate
635,1,Standard rate
636,1,Standard rate
637,1,Standard rate
638,1,Standard rate
639,1,Standard rate
640,1,Standard rate
641,1,Standard rate
642,1,Standard rate
643,1,Standard rate
644,1,Standard rate
645,1,Standard rate
646,1,Standard rate
647,1,Standard rate
648,1,Standard rate
649,1,Standard rate
650,1,Standard rate
651,1,Standard rate
652,1,Standard rate
653,1,Standard rate
654,1,Standard rate
655,1,Standard rate
656,1,Standard rate
657,1,Standard rate
658,1,Standard rate
659,1,Standard rate
660,1,Standard rate
661,1,Standard rate
662,1,Standard rate
663,1,Standard rate
664,1,Standard rate
665,1,Standard rate
666,1,Standard rate
667,1,Standard rate
668,1,Standard rate
669,1,Standard rate
670,1,Standard rate
671,1,Standard rate
672,1,Standard rate
673,1,Standard rate
674,1,Standard rate
675,1,Standard rate
676,1,Standard rate
677,1,Standard rate
678,1,Standard rate
679,1,Standard rate
680,1,Standard rate
681,1,Standard rate
682,1,Standard rate
683,1,Standard rate
684,1,Standard rate
685,1,Standard rate
686,1,Standard rate
687,1,Standard rate
688,1,Standard rate
689,1,Standard rate
690,1,Standard rate
691,1,Standard rate
692,1,Standard rate
693,1,Standard rate
694,1,Standard rate
695,1,Standard rate
696,1,Standard rate
697,1,Standard rate
698,1,Standard rate
699,1,Standard rate
700,1,Standard rate
701,1,Standard rate
702,1,Standard rate
703,1,Standard rate
704,1,Standard rate
705,1,Standard rate
706,1,Standard rate
707,1,Standard rate
708,1,Standard rate
709,1,Standard rate
710,1,Standard rate
711,1,Standard rate
712,1,Standard rate
713,1,Standard rate
714,1,Standard rate
715,1,Standard rate
716,1,Standard rate
717,1,Standard rate
718,1,Standard rate
719,1,Standard rate
720,1,Standard rate
721,1,Standard rate
722,1,Standard rate
723,1,Standard rate
724,1,Standard rate
725,1,Standard rate
726,1,Standard rate
727,1,Standard rate
728,1,Standard rate
729,1,Standard rate
730,1,Standard rate
731,1,Standard rate
732,1,Standard rate
733,1,Standard rate
734,1,Standard rate
735,1,Standard rate
736,1,Standard rate
737,1,Standard rate
738,1,Standard rate
739,1,Standard rate
740,1,Standard rate
741,1,Standard rate
742,1,Standard rate
743,1,Standard rate
744,1,Standard rate
745,2,JFK
746,1,Standard rate
747,1,Standard rate
748,1,Standard rate
749,1,Standard rate
750,1,Standard rate
751,1,Standard rate
752,1,Standard rate
753,1,Standard rate
754,1,Standard rate
755,1,Standard rate
756,1,Standard rate
757,1,Standard rate
758,1,Standard rate
759,1,Standard rate
760,1,Standard rate
761,1,Standard rate
762,1,Standard rate
763,1,Standard rate
764,1,Standard rate
765,1,Standard rate
766,1,Standard rate
767,1,Standard rate
768,1,Standard rate
769,1,Standard rate
770,1,Standard rate
771,1,Standard rate
772,1,Standard rate
773,1,Standard rate
774,1,Standard rate
775,1,Standard rate
776,1,Standard rate
777,1,Standard rate
778,1,Standard rate
779,1,Standard rate
780,1,Standard rate
781,1,Standard rate
782,1,Standard rate
783,1,Standard rate
784,1,Standard rate
785,1,Standard rate
786,1,Standard rate
787,1,Standard rate
788,1,Standard rate
789,1,Standard rate
790,1,Standard rate
791,1,Standard rate
792,1,Standard rate
793,1,Standard rate
794,1,Standard rate
795,1,Standard rate
796,1,Standard rate
797,1,Standard rate
798,1,Standard rate
799,1,Standard rate
800,1,Standard rate
801,1,Standard rate
802,1,Standard rate
803,1,Standard rate
804,1,Standard rate
805,1,Standard rate
806,1,Standard rate
807,1,Standard rate
808,1,Standard rate
809,1,Standard rate
810,1,Standard rate
811,1,Standard rate
812,1,Standard rate
813,1,Standard rate
814,1,Standard rate
815,1,Standard rate
816,1,Standard rate
817,1,Standard rate
818,1,Standard rate
819,1,Standard rate
820,1,Standard rate
821,1,Standard rate
822,1,Standard rate
823,1,Standard rate
824,1,Standard rate
825,1,Standard rate
826,1,Standard rate
827,1,Standard rate
828,1,Standard rate
829,1,Standard rate
830,1,Standard rate
831,1,Standard rate
832,1,Standard rate
833,1,Standard rate
834,1,Standard rate
835,1,Standard rate
836,1,Standard rate
837,1,Standard rate
838,1,Standard rate
839,1,Standard rate
840,1,Standard rate
841,1,Standard rate
842,1,Standard rate
843,1,Standard rate
844,1,Standard rate
845,1,Standard rate
846,1,Standard rate
847,1,Standard rate
848,1,Standard rate
849,1,Standard rate
850,2,JFK
851,1,Standard rate
852,1,Standard rate
853,1,Standard rate
854,1,Standard rate
855,1,Standard rate
856,1,Standard rate
857,1,Standard rate
858,1,Standard rate
859,1,Standard rate
860,1,Standard rate
861,1,Standard rate
862,1,Standard rate
863,1,Standard rate
864,1,Standard rate
865,1,Standard rate
866,1,Standard rate
867,1,Standard rate
868,1,Standard rate
869,1,Standard rate
870,1,Standard rate
871,1,Standard rate
872,1,Standard rate
873,1,Standard rate
874,1,Standard rate
875,1,Standard rate
876,1,Standard rate
877,1,Standard rate
878,1,Standard rate
879,1,Standard rate
880,1,Standard rate
881,1,Standard rate
882,1,Standard rate
883,1,Standard rate
884,1,Standard rate
885,1,Standard rate
886,1,Standard rate
887,1,Standard rate
888,1,Standard rate
889,1,Standard rate
890,1,Standard rate
891,1,Standard rate
892,1,Standard rate
893,1,Standard rate
894,1,Standard rate
895,1,Standard rate
896,1,Standard rate
897,1,Standard rate
898,1,Standard rate
899,1,Standard rate
900,1,Standard rate
901,1,Standard rate
902,1,Standard rate
903,1,Standard rate
904,1,Standard rate
905,1,Standard rate
906,1,Standard rate
907,1,Standard rate
908,1,Standard rate
909,1,Standard rate
910,1,Standard rate
911,1,Standard rate
912,1,Standard rate
913,2,JFK
914,1,Standard rate
915,1,Standard rate
916,1,Standard rate
917,1,Standard rate
918,1,Standard rate
919,1,Standard rate
920,1,Standard rate
921,1,Standard rate
922,1,Standard rate
923,1,Standard rate
924,1,Standard rate
925,1,Standard rate
926,1,Standard rate
927,1,Standard rate
928,1,Standard rate
929,1,Standard rate
930,1,Standard rate
931,1,Standard rate
932,1,Standard rate
933,1,Standard rate
934,1,Standard rate
935,1,Standard rate
936,1,Standard rate
937,1,Standard rate
938,1,Standard rate
939,1,Standard rate
940,1,Standard rate
941,1,Standard rate
942,1,Standard rate
943,1,Standard rate
944,1,Standard rate
945,1,Standard rate
946,1,Standard rate
947,1,Standard rate
948,1,Standard rate
949,1,Standard rate
950,1,Standard rate
951,1,Standard rate
952,1,Standard rate
953,1,Standard rate
954,1,Standard rate
955,1,Standard rate
956,1,Standard rate
957,1,Standard rate
958,1,Standard rate
959,1,Standard rate
960,1,Standard rate
961,1,Standard rate
962,1,Standard rate
963,1,Standard rate
964,1,Standard rate
965,1,Standard rate
966,1,Standard rate
967,1,Standard rate
968,1,Standard rate
969,1,Standard rate
970,1,Standard rate
971,1,Standard rate
972,1,Standard rate
973,1,Standard rate
974,1,Standard rate
975,1,Standard rate
976,1,Standard rate
977,1,Standard rate
978,1,Standard rate
979,1,Standard rate
980,1,Standard rate
981,1,Standard rate
982,1,Standard rate
983,1,Standard rate
984,1,Standard rate
985,1,Standard rate
986,1,Standard rate
987,1,Standard rate
988,1,Standard rate
989,1,Standard rate
990,1,Standard rate
991,1,Standard rate
992,1,Standard rate
993,1,Standard rate
994,1,Standard rate
995,1,Standard rate
996,1,Standard rate
997,1,Standard rate
998,1,Standard rate
999,1,Standard rate
1000,1,Standard rate
1001,1,Standard rate
1002,1,Standard rate
1003,1,Standard rate
1004,1,Standard rate
1005,1,Standard rate
1006,1,Standard rate
1007,1,Standard rate
1008,1,Standard rate
1009,1,Standard rate
1010,1,Standard rate
1011,1,Standard rate
1012,1,Standard rate
1013,1,Standard rate
1014,1,Standard rate
1015,1,Standard rate
1016,1,Standard rate
1017,1,Standard rate
1018,1,Standard rate
1019,1,Standard rate
1020,1,Standard rate
1021,1,Standard rate
1022,1,Standard rate
1023,1,Standard rate
1024,1,Standard rate
1025,1,Standard rate
1026,1,Standard rate
1027,1,Standard rate
1028,1,Standard rate
1029,1,Standard rate
1030,1,Standard rate
1031,1,Standard rate
1032,1,Standard rate
1033,1,Standard rate
1034,1,Standard rate
1035,1,Standard rate
1036,1,Standard rate
1037,1,Standard rate
1038,1,Standard rate
1039,1,Standard rate
1040,1,Standard rate
1041,1,Standard rate
1042,1,Standard rate
1043,1,Standard rate
1044,1,Standard rate
1045,1,Standard rate
1046,1,Standard rate
1047,1,Standard rate
1048,1,Standard rate
1049,1,Standard rate
1050,1,Standard rate
1051,1,Standard rate
1052,1,Standard rate
1053,1,Standard rate
1054,1,Standard rate
1055,1,Standard rate
1056,1,Standard rate
1057,1,Standard rate
1058,1,Standard rate
1059,1,Standard rate
1060,1,Standard rate
1061,1,Standard rate
1062,1,Standard rate
1063,1,Standard rate
1064,1,Standard rate
1065,1,Standard rate
1066,1,Standard rate
1067,1,Standard rate
1068,1,Standard rate
1069,1,Standard rate
1070,1,Standard rate
1071,1,Standard rate
1072,1,Standard rate
1073,1,Standard rate
1074,1,Standard rate
1075,1,Standard rate
1076,1,Standard rate
1077,1,Standard rate
1078,1,Standard rate
1079,1,Standard rate
1080,1,Standard rate
1081,1,Standard rate
1082,1,Standard rate
1083,1,Standard rate
1084,1,Standard rate
1085,1,Standard rate
1086,1,Standard rate
1087,1,Standard rate
1088,1,Standard rate
1089,1,Standard rate
1090,1,Standard rate
1091,1,Standard rate
1092,1,Standard rate
1093,1,Standard rate
1094,1,Standard rate
1095,2,JFK
1096,1,Standard rate
1097,2,JFK
1098,1,Standard rate
1099,1,Standard rate
1100,1,Standard rate
1101,1,Standard rate
1102,1,Standard rate
1103,1,Standard rate
1104,1,Standard rate
1105,1,Standard rate
1106,1,Standard rate
1107,1,Standard rate
1108,1,Standard rate
1109,1,Standard rate
1110,1,Standard rate
1111,1,Standard rate
1112,1,Standard rate
1113,2,JFK
1114,1,Standard rate
1115,1,Standard rate
1116,2,JFK
1117,1,Standard rate
1118,1,Standard rate
1119,1,Standard rate
1120,1,Standard rate
1121,1,Standard rate
1122,1,Standard rate
1123,1,Standard rate
1124,1,Standard rate
1125,1,Standard rate
1126,1,Standard rate
1127,1,Standard rate
1128,1,Standard rate
1129,1,Standard rate
1130,1,Standard rate
1131,1,Standard rate
1132,1,Standard rate
1133,1,Standard rate
1134,1,Standard rate
1135,1,Standard rate
1136,1,Standard rate
1137,1,Standard rate
1138,1,Standard rate
1139,1,Standard rate
1140,1,Standard rate
1141,1,Standard rate
1142,1,Standard rate
1143,1,Standard rate
1144,1,Standard rate
1145,1,Standard rate
1146,1,Standard rate
1147,1,Standard rate
1148,1,Standard rate
1149,1,Standard rate
1150,1,Standard rate
1151,1,Standard rate
1152,1,Standard rate
1153,1,Standard rate
1154,1,Standard rate
1155,1,Standard rate
1156,1,Standard rate
1157,1,Standard rate
1158,1,Standard rate
1159,1,Standard rate
1160,1,Standard rate
1161,1,Standard rate
1162,2,JFK
1163,1,Standard rate
1164,1,Standard rate
1165,1,Standard rate
1166,1,Standard rate
1167,1,Standard rate
1168,1,Standard rate
1169,1,Standard rate
1170,1,Standard rate
1171,1,Standard rate
1172,1,Standard rate
1173,1,Standard rate
1174,1,Standard rate
1175,1,Standard rate
1176,1,Standard rate
1177,1,Standard rate
1178,1,Standard rate
1179,1,Standard rate
1180,1,Standard rate
1181,1,Standard rate
1182,1,Standard rate
1183,1,Standard rate
1184,1,Standard rate
1185,1,Standard rate
1186,1,Standard rate
1187,1,Standard rate
1188,1,Standard rate
1189,1,Standard rate
1190,1,Standard rate
1191,1,Standard rate
1192,1,Standard rate
1193,1,Standard rate
1194,1,Standard rate
1195,1,Standard rate
1196,1,Standard rate
1197,1,Standard rate
1198,1,Standard rate
1199,1,Standard rate
1200,1,Standard rate
1201,1,Standard rate
1202,1,Standard rate
1203,1,Standard rate
1204,1,Standard rate
1205,1,Standard rate
1206,1,Standard rate
1207,1,Standard rate
1208,1,Standard rate
1209,1,Standard rate
1210,1,Standard rate
1211,2,JFK
1212,1,Standard rate
1213,1,Standard rate
1214,1,Standard rate
1215,1,Standard rate
1216,1,Standard rate
1217,1,Standard rate
1218,1,Standard rate
1219,1,Standard rate
1220,1,Standard rate
1221,1,Standard rate
1222,1,Standard rate
1223,1,Standard rate
1224,1,Standard rate
1225,1,Standard rate
1226,1,Standard rate
1227,1,Standard rate
1228,1,Standard rate
1229,1,Standard rate
1230,1,Standard rate
1231,1,Standard rate
1232,1,Standard rate
1233,1,Standard rate
1234,1,Standard rate
1235,1,Standard rate
1236,1,Standard rate
1237,1,Standard rate
1238,1,Standard rate
1239,1,Standard rate
1240,1,Standard rate
1241,1,Standard rate
1242,1,Standard rate
1243,1,Standard rate
1244,1,Standard rate
1245,1,Standard rate
1246,1,Standard rate
1247,1,Standard rate
1248,1,Standard rate
1249,1,Standard rate
1250,1,Standard rate
1251,1,Standard rate
1252,1,Standard rate
1253,1,Standard rate
1254,1,Standard rate
1255,1,Standard rate
1256,1,Standard rate
1257,1,Standard rate
1258,1,Standard rate
1259,1,Standard rate
1260,2,JFK
1261,1,Standard rate
1262,1,Standard rate
1263,1,Standard rate
1264,1,Standard rate
1265,1,Standard rate
1266,1,Standard rate
1267,1,Standard rate
1268,1,Standard rate
1269,1,Standard rate
1270,1,Standard rate
1271,1,Standard rate
1272,1,Standard rate
1273,1,Standard rate
1274,1,Standard rate
1275,1,Standard rate
1276,1,Standard rate
1277,1,Standard rate
1278,1,Standard rate
1279,1,Standard rate
1280,1,Standard rate
1281,1,Standard rate
1282,1,Standard rate
1283,1,Standard rate
1284,1,Standard rate
1285,1,Standard rate
1286,1,Standard rate
1287,1,Standard rate
1288,1,Standard rate
1289,1,Standard rate
1290,1,Standard rate
1291,1,Standard rate
1292,1,Standard rate
1293,1,Standard rate
1294,1,Standard rate
1295,1,Standard rate
1296,1,Standard rate
1297,1,Standard rate
1298,1,Standard rate
1299,1,Standard rate
1300,1,Standard rate
1301,1,Standard rate
1302,1,Standard rate
1303,1,Standard rate
1304,1,Standard rate
1305,1,Standard rate
1306,2,JFK
1307,1,Standard rate
1308,1,Standard rate
1309,1,Standard rate
1310,1,Standard rate
1311,1,Standard rate
1312,1,Standard rate
1313,1,Standard rate
1314,1,Standard rate
1315,1,Standard rate
1316,1,Standard rate
1317,1,Standard rate
1318,1,Standard rate
1319,1,Standard rate
1320,1,Standard rate
1321,1,Standard rate
1322,1,Standard rate
1323,1,Standard rate
1324,1,Standard rate
1325,1,Standard rate
1326,2,JFK
1327,1,Standard rate
1328,1,Standard rate
1329,1,Standard rate
1330,1,Standard rate
1331,1,Standard rate
1332,1,Standard rate
1333,1,Standard rate
1334,1,Standard rate
1335,1,Standard rate
1336,1,Standard rate
1337,1,Standard rate
1338,1,Standard rate
1339,1,Standard rate
1340,2,JFK
1341,1,Standard rate
1342,1,Standard rate
1343,1,Standard rate
1344,1,Standard rate
1345,1,Standard rate
1346,1,Standard rate
1347,1,Standard rate
1348,1,Standard rate
1349,1,Standard rate
1350,1,Standard rate
1351,1,Standard rate
1352,1,Standard rate
1353,1,Standard rate
1354,1,Standard rate
1355,1,Standard rate
1356,1,Standard rate
1357,1,Standard rate
1358,1,Standard rate
1359,1,Standard rate
1360,1,Standard rate
1361,1,Standard rate
1362,1,Standard rate
1363,1,Standard rate
1364,1,Standard rate
